Order ID,Product,Quantity Ordered,Price Each,Purchase Address,Month,Day,Year
176558,USB-C Charging Cable,2,11.95,"917 1st St, Dallas, TX 75001",,,
,,,,,,,
176559,Bose SoundSport Headphones,1,99.99,"682 Chestnut St, Boston, MA 02215",,,
176560,Google Phone,1,600,"669 Spruce St, Los Angeles, CA 90001",,,
176560,Wired Headphones,1,11.99,"669 Spruce St, Los Angeles, CA 90001",,,
176561,Wired Headphones,1,11.99,"333 8th St, Los Angeles, CA 90001",,,
176562,USB-C Charging Cable,1,11.95,"381 Wilson St, San Francisco, CA 94016",,,
176563,Bose SoundSport Headphones,1,99.99,"668 Center St, Seattle, WA 98101",,,
176564,USB-C Charging Cable,1,11.95,"790 Ridge St, Atlanta, GA 30301",,,
176565,Macbook Pro Laptop,1,1700,"915 Willow St, San Francisco, CA 94016",,,
176566,Wired Headphones,1,11.99,"83 7th St, Boston, MA 02215",,,
176567,Google Phone,1,600,"444 7th St, Los Angeles, CA 90001",,,
176568,Lightning Charging Cable,1,14.95,"438 Elm St, Seattle, WA 98101",,,
176569,27in 4K Gaming Monitor,1,389.99,"657 Hill St, Dallas, TX 75001",,,
176570,AA Batteries (4-pack),1,3.84,"186 12th St, Dallas, TX 75001",,,
176571,Lightning Charging Cable,1,14.95,"253 Johnson St, Atlanta, GA 30301",,,
176572,Apple Airpods Headphones,1,150,"149 Dogwood St, New York City, NY 10001",,,
176573,USB-C Charging Cable,1,11.95,"214 Chestnut St, San Francisco, CA 94016",,,
176574,Google Phone,1,600,"20 Hill St, Los Angeles, CA 90001",,,
176574,USB-C Charging Cable,1,11.95,"20 Hill St, Los Angeles, CA 90001",,,
176575,AAA Batteries (4-pack),1,2.99,"433 Hill St, New York City, NY 10001",,,
176576,Apple Airpods Headphones,1,150,"771 Ridge St, Los Angeles, CA 90001",,,
176577,Apple Airpods Headphones,1,150,"260 Spruce St, Dallas, TX 75001",,,
176578,Apple Airpods Headphones,1,150,"513 Church St, Boston, MA 02215",,,
176579,AA Batteries (4-pack),1,3.84,"886 Jefferson St, New York City, NY 10001",,,
176580,USB-C Charging Cable,1,11.95,"886 Willow St, Los Angeles, CA 90001",,,
176581,iPhone,1,700,"84 Jackson St, Boston, MA 02215",,,
176582,Bose SoundSport Headphones,1,99.99,"178 Lincoln St, Atlanta, GA 30301",,,
